PRODUCT_CODE,제품명,가격,제조사,주요 성분,효능 및 기능,복용 방법,주의 사항 및 부작용
P00091,1 라이펫 분석,0원,,"조단백질 11.7% 이상, 조지방 12.5% 이상, 조섬유 0.9% 이하, 조회분 7.4% 이하, 칼슘 0.09% 이상, 인 0.14% 이상, 수분 8.7% 이하 정제어유 , 젤라틴 , 현미가루 , L-시스테인 , L-카르니틴 , 비타민 E , 효모추출물 , 실리카 , 스테아린산마그네슘 , 코엔자임Q10 , 어유파우더(EPA/DHA 공급원) , 포스파티딜세린 (인공 첨가물:3, 알러지 주의:3)",기능성 성분 시너지의 강력한 복합 항산화제 두뇌 영양 공급으로 노령견 인지기능장애 도움 신장/심장 질환 등 만성질환 개선에 도움 1일 1캡슐로 간편하고 효과적인 급여 기능성 성분 시너지의 강력한 복합 항산화제 기능성 성분 시너지의 강력한 복합 항산화제 강력한 복합 항산화제 두뇌 영양 공급으로 노령견 인지기능장애 도움 두뇌 영양 공급으로 노령견 인지기능장애 도움 노령견 인지기능장애 도움 신장/심장 질환 등 만성질환 개선에 도움 신장/심장 질환 등 만성질환 개선에 도움 만성질환 개선에 도움 1일 1캡슐로 간편하고 효과적인 급여 1일 1캡슐로 간편하고 효과적인 급여 간편하고 효과적인 급여,,종합 영양제 액티베이트 스몰 종합 영양제 액티베이트 스몰 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 캡슐 제형 캡슐 급여 방법 직접 급여하거나 캡슐 개봉 후 주식/간식에 혼합해 급여해주세요. 급여 방법 직접 급여하거나 캡슐 개봉 후 주식/간식에 혼합해 급여해주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로
P00370,1 라이펫 분석,0원,,"조단백질 6.3% 이상, 조지방 1% 이상, 조섬유 2.5% 이하, 조회분 3.3% 이하, 칼슘 0.31% 이상, 인 0.17% 이상, 수분 3.2% 이하 글루코오스 , 결정셀룰로오스 , 타히보 , 프락토올리고당 , 후코이단 , 유도단백질(가수분해닭간) , 건조 효모 , 베타글루칸 , 리포좀 글루타치온 , 마그네슘 (인공 첨가물:2, 알러지 주의:0)",근본적인 항암을 위한 타히보와 후코이단 종양 세포를 억제하는 베타글루칸과 글루타치온 보존제 등 유해성분 ALL FREE 안전하고 편리한 개별 스틱 포장 근본적인 항암을 위한 타히보와 후코이단 근본적인 항암을 위한 타히보와 후코이단 타히보와 후코이단 종양 세포를 억제하는 베타글루칸과 글루타치온 종양 세포를 억제하는 베타글루칸과 글루타치온 베타글루칸과 글루타치온 보존제 등 유해성분 ALL FREE 보존제 등 유해성분 ALL FREE ALL FREE 안전하고 편리한 개별 스틱 포장 안전하고 편리한 개별 스틱 포장 개별 스틱 포장,종양 영양제 진정성 TF 타히보 후코이단 종양 영양제 진정성 TF 타히보 후코이단 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 분말 제형 분말 급여 방법 주식 또는 간식과 함께 급여해주세요. 급여 방법 주식 또는 간식과 함께 급여해주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,
P00115,1 라이펫 분석,0원,,"조단백질 5% 이상, 조지방 3% 이상, 조섬유 2% 이하, 조회분 2% 이하, 칼슘 0.01% 이상, 인 0.01% 이상, 수분 14% 이하 타피오카 , 말티톨 , 이소말토올리고당 , 글리세린 , 현미 , 귀리 , 젤라틴 , 아마씨분말 , CMC-Na , 글리세린모노스테아레이트 , 비타민 B1 , 아세트산아연 , 향료 (인공 첨가물:7, 알러지 주의:2)",HACCP 인증 시설에서 위생적으로 생산 특허 출원된 형상으로 뛰어난 치석제거 효과 트러블을 유발하지 않는 저알러지 포뮬러 HACCP 인증 시설에서 위생적으로 생산 HACCP 인증 시설에서 위생적으로 생산 위생적으로 생산 특허 출원된 형상으로 뛰어난 치석제거 효과 특허 출원된 형상으로 뛰어난 치석제거 효과 뛰어난 치석제거 효과 트러블을 유발하지 않는 저알러지 포뮬러 트러블을 유발하지 않는 저알러지 포뮬러 저알러지 포뮬러,덴탈 껌 덴티페어리 디스펜서 SS 덴탈 껌 덴티페어리 디스펜서 SS 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 껌 제형 껌 급여 방법 1.5kg 미만인 아이들에게는 급여를 지양해주세요. 통째로 삼키지 않게 주의해주세요. 급여 방법 1.5kg 미만인 아이들에게는 급여를 지양해주세요. 통째로 삼키지 않게 주의해주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,
P00012,1 라이펫 분석,"28,000원",,"조단백질 5% 이상, 조섬유 7% 이하, 조회분 27% 이하, 수분 14% 이하 노티드랙(아스코필럼노도섬) (인공 첨가물:0, 알러지 주의:0)",치석과 구취제거 효과로 유럽 구강케어 판매 1위 체내 흡수 후 침을 통한 성분 분비로 치석 제거 매일 편리한 급여로 꾸준한 구강관리 북대서양 해초를 원료로 풍부한 비타민과 미네랄 치석과 구취제거 효과로 유럽 구강케어 판매 1위 치석과 구취제거 효과로 유럽 구강케어 판매 1위 유럽 구강케어 판매 1위 체내 흡수 후 침을 통한 성분 분비로 치석 제거 체내 흡수 후 침을 통한 성분 분비로 치석 제거 성분 분비로 치석 제거 매일 편리한 급여로 꾸준한 구강관리 매일 편리한 급여로 꾸준한 구강관리 꾸준한 구강관리 북대서양 해초를 원료로 풍부한 비타민과 미네랄 북대서양 해초를 원료로 풍부한 비타민과 미네랄 풍부한 비타민과 미네랄,구강 영양제 프로덴 플라그오프 파우더 구강 영양제 프로덴 플라그오프 파우더 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 파우더 제형 파우더 급여 방법 주식/간식에 혼합해 급여해주세요. 용량 측정 스푼은 포함되어 있습니다. 급여 방법 주식/간식에 혼합해 급여해주세요. 용량 측정 스푼은 포함되어 있습니다. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,갑상선 질환 진단 시 급여 전 수의사 상담 권장 갑상선 질환 진단 시 급여 전 수의사 상담 권장 갑상선 질환 진단 시 급여 전 수의사 상담 권장 급여 전 수의사 상담 권장
P00423,1 라이펫 분석,0원,,"조단백질 30% 이상, 조지방 1.1% 이상, 조섬유 2.1% 이하, 조회분 7.7% 이하, 칼슘 0.01% 이상, 인 0.05% 이상, 수분 28% 이하 말고기 , D-솔비톨 , 젖산칼슘 , 비타민 C , 비타민 E , 올리고당 , 바이오플레버 , 정제염 (인공 첨가물:2, 알러지 주의:1)",제주산 말고기만 사용한 다이어트 영양 트릿 HACCP 인증받은 살균 공정 방법 알러지 개선에 도움되는 저알러지 단백질 저온건조공법으로 영양소 파괴 최소화 제주산 말고기만 사용한 다이어트 영양 트릿 제주산 말고기만 사용한 다이어트 영양 트릿 다이어트 영양 트릿 HACCP 인증받은 살균 공정 방법 HACCP 인증받은 살균 공정 방법 살균 공정 방법 알러지 개선에 도움되는 저알러지 단백질 알러지 개선에 도움되는 저알러지 단백질 저알러지 단백질 저온건조공법으로 영양소 파괴 최소화 저온건조공법으로 영양소 파괴 최소화 영양소 파괴 최소화,간식 제주 말고기 져키 간식 제주 말고기 져키 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 져키 제형 져키 급여 방법 권장 급여량에 맞춰 급여해주세요. 급여 방법 권장 급여량에 맞춰 급여해주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,
P00425,1 라이펫 분석,0원,,"조단백질 30% 이상, 조지방 1.1% 이상, 조섬유 2.1% 이하, 조회분 7.7% 이하, 칼슘 0.01% 이상, 인 0.05% 이상, 수분 28% 이하 말고기 , D-솔비톨 , 젖산칼슘 , 비타민 C , 비타민 E , 올리고당 , 바이오플레버 , 정제염 (인공 첨가물:2, 알러지 주의:1)",제주산 말고기만 사용한 다이어트 영양 트릿 노즈워크에 추천하는 한입 크키 큐브 알러지 개선에 도움되는 저알러지 단백질 저온건조공법으로 영양소 파괴 최소화 제주산 말고기만 사용한 다이어트 영양 트릿 제주산 말고기만 사용한 다이어트 영양 트릿 다이어트 영양 트릿 노즈워크에 추천하는 한입 크키 큐브 노즈워크에 추천하는 한입 크키 큐브 한입 크키 큐브 알러지 개선에 도움되는 저알러지 단백질 알러지 개선에 도움되는 저알러지 단백질 저알러지 단백질 저온건조공법으로 영양소 파괴 최소화 저온건조공법으로 영양소 파괴 최소화 영양소 파괴 최소화,간식 제주 말고기 큐브 간식 제주 말고기 큐브 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 큐브 제형 큐브 급여 방법 권장 급여량에 맞춰 급여해주세요. 급여 방법 권장 급여량에 맞춰 급여해주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,
P00424,1 라이펫 분석,0원,,"조단백질 30% 이상, 조지방 1.1% 이상, 조섬유 2.1% 이하, 조회분 7.7% 이하, 칼슘 0.01% 이상, 인 0.05% 이상, 수분 28% 이하 말고기 , D-솔비톨 , 젖산칼슘 , 비타민 C , 비타민 E , 올리고당 , 바이오플레버 , 정제염 (인공 첨가물:2, 알러지 주의:1)",제주산 말고기만 사용한 다이어트 영양 트릿 HACCP 인증받은 살균 공정 방법 알러지 개선에 도움되는 저알러지 단백질 저온건조공법으로 영양소 파괴 최소화 제주산 말고기만 사용한 다이어트 영양 트릿 제주산 말고기만 사용한 다이어트 영양 트릿 다이어트 영양 트릿 HACCP 인증받은 살균 공정 방법 HACCP 인증받은 살균 공정 방법 살균 공정 방법 알러지 개선에 도움되는 저알러지 단백질 알러지 개선에 도움되는 저알러지 단백질 저알러지 단백질 저온건조공법으로 영양소 파괴 최소화 저온건조공법으로 영양소 파괴 최소화 영양소 파괴 최소화,간식 제주 말고기 스틱 간식 제주 말고기 스틱 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 스틱 제형 스틱 급여 방법 권장 급여량에 맞춰 급여해주세요. 급여 방법 권장 급여량에 맞춰 급여해주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,
P00087,1 라이펫 분석,0원,,"조단백질 27% 이상, 조지방 3.3% 이상, 조섬유 0.2% 이하, 조회분 7.7% 이하, 칼슘 0.1% 이상, 인 0.2% 이상, 수분 6.6% 이하 글루코사민 , 젤라틴 , 돼지연골추출물(콘드로이틴 설페이트) , 비타민 C , 황산아연 , 크릴 오일(오메가 3 지방산과 아스타크산틴의 원료) , 규산염 , 스테아린산마그네슘 , 밀 (인공 첨가물:5, 알러지 주의:2)",강아지 골관절 관리를 위한 관절 특화 성분 영양보조제 고도로 정제된 크릴 오일로 아스타크산틴과 EFA 공급 생체 흡수율이 높은 돼지 연골 콘드로이틴 사용 연골 및 관절액을 구성하는 글루코사민 HCL 다량 함유 강아지 골관절 관리를 위한 관절 특화 성분 영양보조제 강아지 골관절 관리를 위한 관절 특화 성분 영양보조제 관절 특화 성분 영양보조제 고도로 정제된 크릴 오일로 아스타크산틴과 EFA 공급 고도로 정제된 크릴 오일로 아스타크산틴과 EFA 공급 아스타크산틴과 EFA 공급 생체 흡수율이 높은 돼지 연골 콘드로이틴 사용 생체 흡수율이 높은 돼지 연골 콘드로이틴 사용 돼지 연골 콘드로이틴 사용 연골 및 관절액을 구성하는 글루코사민 HCL 다량 함유 연골 및 관절액을 구성하는 글루코사민 HCL 다량 함유 글루코사민 HCL 다량 함유,관절 영양제 사이노퀸 스몰 캡슐 관절 영양제 사이노퀸 스몰 캡슐 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 캡슐 제형 캡슐 급여 방법 직접 급여하거나 주식/간식과 함께 급여해주세요. 초기 급여량을 정확하게 지켜주세요. 급여 방법 직접 급여하거나 주식/간식과 함께 급여해주세요. 초기 급여량을 정확하게 지켜주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,소형견(~10kg) 전용으로 체급에 따른 선택 필요 소형견(~10kg) 전용으로 체급에 따른 선택 필요 소형견(~10kg) 전용으로 체급에 따른 선택 필요 체급에 따른 선택 필요
P00179,1 라이펫 분석,"43,900원",,"조단백질 16% 이상, 조지방 4% 이상, 조섬유 0.3% 이하, 조회분 2% 이하, 수분 76% 이하, 칼슘 0.24% 이하, 인 0.19% 이상 닭가슴살 , 닭다리살 , 칠면조가슴살 , 통닭 , 닭간 , 소지라 , 소신장 , 당근 , 양배추 , 콜리플라워 , 애호박 , 표고버섯 , 블루베리 , 단호박 , 커티지치즈 , 난황 , 벌꿀 , 저염멸치 , 대구간유 , 햄프씨드 , 치아씨드 , 해바라기씨유 , 켈프 , 코코넛오일 , 난황IgY (인공 첨가물:0, 알러지 주의:17)",두가지 이상의 고기 섭취로 균형 잡힌 완벽 비율 레시피 흰살코기 칠면조&닭고기 적은 소화 부담과 빠른 적응 늘 새롭고 신선하게 생산일 1-2주 내 생식 배송 전자빔 멸균 조사처리로 생식을 건강하고 안전하게 두가지 이상의 고기 섭취로 균형 잡힌 완벽 비율 레시피 두가지 이상의 고기 섭취로 균형 잡힌 완벽 비율 레시피 균형 잡힌 완벽 비율 레시피 흰살코기 칠면조&닭고기 적은 소화 부담과 빠른 적응 흰살코기 칠면조&닭고기 적은 소화 부담과 빠른 적응 적은 소화 부담과 빠른 적응 늘 새롭고 신선하게 생산일 1-2주 내 생식 배송 늘 새롭고 신선하게 생산일 1-2주 내 생식 배송 생산일 1-2주 내 생식 배송 전자빔 멸균 조사처리로 생식을 건강하고 안전하게 전자빔 멸균 조사처리로 생식을 건강하고 안전하게 생식을 건강하고 안전하게,"프리미엄 생식 바프독 스타터 프리미엄 프리미엄 생식 바프독 스타터 프리미엄 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 원물 제형 원물 급여 방법 상온 기준 반드시 20분 내 급여해주시고, 이후에는 폐기해주세요. 급여 방법 상온 기준 반드시 20분 내 급여해주시고, 이후에는 폐기해주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로",
P00086,1 라이펫 분석,0원,,"조단백질 27.4% 이상, 조지방 2.3% 이상, 조섬유 0.3% 이하, 조회분 36.7% 이하, 칼슘 8.4% 이상, 인 4.4% 이상, 수분 4.7% 이하 제삼인산칼슘 , 글루코사민 , 돼지간 분말 , 돼지연골추출물(콘드로이틴 설페이트) , 크릴 오일(오메가 3 지방산과 아스타크산틴의 원료) , 맥아효모 , 비타민 C , 황산아연 , 스테아린산마그네슘 (인공 첨가물:4, 알러지 주의:3)",강아지 골관절 관리를 위한 관절 특화 성분 영양보조제 고도로 정제된 크릴 오일로 아스타크산틴과 EFA 공급 생체 흡수율이 높은 돼지 연골 콘드로이틴 사용 연골 및 관절액을 구성하는 글루코사민 HCL 다량 함유 강아지 골관절 관리를 위한 관절 특화 성분 영양보조제 강아지 골관절 관리를 위한 관절 특화 성분 영양보조제 관절 특화 성분 영양보조제 고도로 정제된 크릴 오일로 아스타크산틴과 EFA 공급 고도로 정제된 크릴 오일로 아스타크산틴과 EFA 공급 아스타크산틴과 EFA 공급 생체 흡수율이 높은 돼지 연골 콘드로이틴 사용 생체 흡수율이 높은 돼지 연골 콘드로이틴 사용 돼지 연골 콘드로이틴 사용 연골 및 관절액을 구성하는 글루코사민 HCL 다량 함유 연골 및 관절액을 구성하는 글루코사민 HCL 다량 함유 글루코사민 HCL 다량 함유,관절 영양제 사이노퀸 스몰 타블릿 관절 영양제 사이노퀸 스몰 타블릿 보름이 믹스 4살 남아 보름이 믹스 4살 남아 제형 타블렛 제형 타블렛 급여 방법 직접 급여하거나 주식/간식과 함께 급여해주세요. 초기 급여량을 정확하게 지켜주세요. 급여 방법 직접 급여하거나 주식/간식과 함께 급여해주세요. 초기 급여량을 정확하게 지켜주세요. 권장 급여 1일 1회 2캡슐 권장 급여 1일 1회 2캡슐 1일 금액 550원 1일 금액 550원 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로,소형견(~10kg) 전용으로 체급에 따른 선택 필요 소형견(~10kg) 전용으로 체급에 따른 선택 필요 소형견(~10kg) 전용으로 체급에 따른 선택 필요 체급에 따른 선택 필요
