제품명,가격,제조사,주요 성분,효능 및 기능,복용 방법,주의사항 및 부작용,이미지URL,카테고리/태그
,0원,라이펫ㅣ포켄스,"타피오카 , 말티톨 , 이소말토올리고당 , 글리세린 , 현미 , 귀리 , 젤라틴 , 아마씨분말 , CMC-Na , 글리세린모노스테아레이트 , 비타민 B1 , 아세트산아연 , 향료 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",HACCP 인증 시설에서 위생적으로 생산 특허 출원된 형상으로 뛰어난 치석제거 효과 트러블을 유발하지 않는 저알러지 포뮬러 2,덴탈 껌 덴티페어리 디스펜서 SS 제형 껌 급여 방법 1.5kg 미만인 아이들에게는 급여를 지양해주세요. 통째로 삼키지 않게 주의해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"12,500원",라이펫ㅣ곰곰연구소,"쌀가루 , 탈지대두분말(NON-GMO) , 식물성글리세린 , 흰살 생선 , 고구마분말 , 맥주효모 , 프로필렌글리콜 , 소르빈산칼륨 , 미네랄합제(아연, 망간) , 비타민합제(비타민 A, B12, D, E) , 아미노산합제 , 베타글루칸 , 차전자피 , 비타민 C , 캐롭 , 타우린 , 자일로올리고당 , 연어유(오메가 3&6 지방산 함유) , 밀웜 , 프로바이오틱스(Bacilus coagulas) , 프리바이오틱스(이눌린) 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.","장 건강에 도움되는 베타글루칸, 차전자피 함유 간편하게 급여가능한 캔디타입의 제형 종합 케어가 가능한 복합 기능성 유산균 휴대하기 편한 낱개 포장 방식 2",면역 영양 간식 노마웰릿 영양 캔디 제형 펠릿 급여 방법 권장 급여량에 맞춰 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"15,000원",라이펫ㅣ아더마스,,,간식 비프칩 (45g) 제형 칩스 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"15,500원",라이펫ㅣ바프독,"강황 , 정제수 , 코코넛오일 , 후추 , 시나몬 가루 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",관절과 통증 완화에 좋은 슈퍼푸드 강황 속 커큐민 더 깐깐하고 신중하게 원재료 USDA 유기농 인증 사료위에 토핑으로 쏙 급여하기 간편한 큐브 설계 방부제&첨가물 완전 free 자욘의 재료만 100% 2,관절 케어 간식 바프독 터메릭 슈퍼큐브 제형 냉동습식 급여 방법 수령 후 즉시 냉동 보관해주세요. 액상 형태가 되면 재냉동하지 마시고 냉장 상태로 1주일 내 급여하세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"29,500원",라이펫ㅣ페노비스,"결정셀룰로오스 , 프락토올리고당 , 프로폴리스추출분말 , 가수분해닭간 , Lactobacillus crispatus KT-11 , 브로멜라인 , 유자추출분말 , 비타민합제(비타민A, 비타민B3, 비타민E 등) , 미네랄합제(아연, 철, 망간 등) , 이산화규소 , 스테아린산마그네슘 , 히드록시프로필메틸셀룰로오스 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",패키지 전면에 표기 투명한 성분 함량 공개 성분을 효과적으로 보호 알약(타정)타입 적용 호흡기 건강 개선에 도움 브로멜라인 함유 위생적이고 안전한 PTP 개별 포장 2,기관지 영양제 페노비스 벳 브레스 30정 제형 알약(타정) 급여 방법 캡슐 통째로 급여하거나 사료에 섞어서 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"24,800원",라이펫ㅣ펫생각,"분리대두단백(NON-GMO) , 쌀 , 타피오카전분 , 글리세린 , 농축호박분말 , 카놀라유 , 브로멜라인 , 프로필렌글리콜 , 프락토올리고당 , 배즙분말 , 도라지분말 , 산성피로인산나트륨 , 소르빈산칼륨 , 초유단백분말 , 산수유추출분말 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",기관지 건강 독점 특허 소재 산수유추출물 첨가 알러지 걱정 없도록 동물성 성분 완전 배제 건강하고 신선한 원료 100% 휴먼그레이드 등급 급여하기 편한 부드러운 츄어블 타입 2,기관지 영양제 데일리케얼 리얼 브레스 제형 펠릿 급여 방법 권장 급여량에 맞춰 간식처럼 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"11,900원",라이펫ㅣ닥터맘마,"고구마 , 오리 , 쌀가루 , 비타민합제(비타민 D, 비타민 C 외) , 미네랄합제(철, 구리 외) , 타우린 , 치커리식이섬유 , 귀리식이섬유 , 브로멜라인 , 한천 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",췌장 건강에 도움되는 브로멜라인 함유 건강에 중요한 수분보충 촉촉한 습식 간식으로 해결 사람이 먹는 것과 동일하게 휴먼그레이드 살고기 사용 HACCP의 인증 받은 안심 제조시설 2,췌장 처방간식 닥터맘마 미니파이케어 파인 제형 무스 급여 방법 식기에 옮겨 먹기 편하도록 잘게 나누어 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"3,700원",라이펫ㅣ마이베프,"연어 , 정제수 , 타피오카전분 , 황태분말 , 배 , 타우린 , 울금추출분말 , 밀크씨슬 , 표고버섯분말 , 아연 , 비타민 E 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",신선한 원재료와 성분으로 간 맞춤 영양 간식 건강하고 맛있게 연어&황태 86.5% 고수분의 묽은 제형으로 높은 소화율과 기호성 반려동물에게 해로운 첨가물 9가지 무첨가 2,간 처방간식 마이베프 별자리스틱 간 제형 액상고형(츄르) 급여 방법 직접 급여하거나 주식/간식과 함께 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"9,900원",라이펫ㅣ리브펫,"쌀가루 , 셀룰로오스 , 식물성글리세린 , 프로필렌글리콜 , 정제포도당 , 가수분해 연어 , 불활성건조효모(사카로마이세스세르비시에) , 헥사메타인산염(SHMP) , 밀크씨슬 , 연어유(오메가 3&6 지방산 함유) , 프로바이오틱스(Bacilus coagulas) , 프로바이오틱스(Fructooligosaccharides) , 유카추출물 , 비타민합제(비타민A,B12,D,E) , 미네랄합제(아연, 망간) , 아미노산합제(DL-메티오닌, L-라이신) , 소르빈산칼륨 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",안쪽 치아 치석까지 해결 10중 돌기 구조 구강 건강에 도움되는 프로폴리스 함유 알러지 개선에 탁월한 가수분해 연어 사용 HACCP 인증 받은 안심 제조시설 2,덴탈 간식 리브펫 덴탈핏츄 제형 펠릿 급여 방법 권장량에 맞춰 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"31,900원",라이펫ㅣ벳액티브,,,영양제 벳액티브 오메가-3 (90캡슐) 제형 연질 캡슐 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
